Institution,State,Website URL,Buyer/Seller for Private Institutions ,Percentage of Institutional Aid Without Respect to Financial Need (2022),"Percentage of Students That Chose to Enroll	
(2021)","Acceptance Rate	
(2021)",Applications (2021),Need-Based Institutional Scholarship (2022),Non-Need-Based Institutional Scholarship (2022),Total Institutional Aid 2022 (Calculation),Average Net Price (2021),"Average Net Price (Income $0-$30,000) 	 
","Average Net Price (Income $30,001-$48,000) 	 
","Average Net Price (Income $48,001-$75,000) 	 ","Average Net Price (income $75,001-$110,000) 	 ","Average Net Price (Income over $110,000) 	","Percent of UG Awarded Aid      

",Percent of First-Years Receiving Institutional Aid,Average Amount of Institutional Aid Awarded to First-Years,Public or Private,Retention Rate (2021),Four-year Graduation Rate,Six-year Graduation Rate,Admitted students,Enrolled students
University of New Hampshire-Main Campus,NH,www.unh.edu/,,10%,16%,87%,"20,149","$104,432,175","$11,032,679","$115,464,854","$22,392","$13,613","$14,441","$17,158","$21,824","$28,478",81,88,"$14,122",Public,87,69%,77%,"17,473","2,795"
University of New Haven,CT,www.newhaven.edu/,Buyer,21%,13%,94%,"10,272","$86,157,387","$22,289,560","$108,446,947","$33,323","$27,400","$27,983","$30,871","$33,875","$36,086",95,100,"$23,094",Private,76,55%,64%,"9,669","1,277"
University of New Mexico-Main Campus,NM,www.unm.edu/,,1%,28%,97%,"11,346","$80,641,567","$1,157,902","$81,799,469","$11,396","$13,742","$15,144","$17,292","$19,060","$19,476",98,83,"$3,980",Public,68,34%,54%,"11,036","3,077"
University of North Alabama,AL,www.una.edu/,,62%,33%,90%,"3,410","$9,546,943","$15,694,941","$25,241,884","$12,379","$10,228","$10,828","$12,956","$15,356","$15,388",71,88,"$7,366",Public,75,27%,50%,"3,068","1,013"
University of North Carolina at Asheville,NC,https://www.unca.edu/,,12%,16%,82%,"4,550","$13,272,249","$1,733,875","$15,006,124","$13,838","$9,183","$9,496","$13,191","$15,678","$17,191",72,89,"$4,904",Public,75,47%,62%,"3,714",605
University of North Carolina at Chapel Hill,NC,https://www.unc.edu/,,15%,45%,20%,"50,729","$118,276,743","$20,213,469","$138,490,212","$11,508","$4,908","$7,842","$13,477","$19,399","$23,129",53,39,"$11,440",Public,97,85%,91%,"10,348","4,690"
University of North Carolina at Charlotte,NC,https://www.charlotte.edu/,,7%,26%,79%,"20,366","$83,873,356","$6,304,270","$90,177,626","$15,682","$11,586","$12,650","$16,620","$20,952","$22,355",51,48,"$4,377",Public,85,38%,65%,"16,180","4,256"
University of North Carolina at Greensboro,NC,www.uncg.edu/,,4%,26%,91%,"10,696","$79,145,629","$3,119,871","$82,265,500","$9,950","$7,537","$9,016","$12,665","$16,792","$18,411",63,65,"$3,140",Public,78,37%,59%,"9,716","2,543"
University of North Carolina at Pembroke,NC,https://www.uncp.edu/,,4%,17%,92%,"5,578","$19,814,428","$915,531","$20,729,959","$11,022","$8,726","$10,460","$13,193","$14,365","$15,319",66,40,"$2,299",Public,73,23%,42%,"5,123",896
University of North Carolina Wilmington,NC,www.uncw.edu/,,14%,23%,68%,"15,792","$43,032,283","$7,087,164","$50,119,447","$18,792","$12,740","$15,069","$19,955","$22,734","$24,245",51,47,"$3,634",Public,83,57%,74%,"10,736","2,435"
University of North Dakota,ND,https://und.edu/,,23%,33%,89%,"5,962","$17,322,446","$5,236,944","$22,559,390","$17,425","$11,298","$12,965","$15,914","$17,573","$20,172",62,73,"$4,032",Public,77,36%,61%,"5,308","1,755"
University of North Florida,FL,https://www.unf.edu/,,25%,21%,77%,"16,004","$43,225,347","$14,084,850","$57,310,197","$7,746","$3,829","$4,827","$7,772","$12,567","$12,913",63,63,"$3,350",Public,79,39%,61%,"12,401","2,574"
University of North Texas,TX,www.unt.edu/,,7%,27%,81%,"24,858","$155,893,384","$11,678,552","$167,571,936","$14,040","$9,722","$11,223","$14,721","$19,878","$20,885",75,69,"$7,306",Public,79,37%,57%,"20,240","5,563"
University of Northern Colorado,CO,https://www.unco.edu/,,25%,14%,91%,"10,152","$35,218,000","$11,802,955","$47,020,955","$17,128","$12,876","$12,561","$14,062","$17,247","$20,511",88,95,"$5,440",Public,69,33%,52%,"9,252","1,256"
University of Northern Iowa,IA,https://www.uni.edu/,,15%,38%,86%,"4,772","$28,856,424","$5,237,463","$34,093,887","$15,231","$10,720","$11,562","$14,236","$15,979","$15,060",68,72,"$3,830",Public,81,41%,64%,"4,094","1,553"
University of Notre Dame,IN,www.nd.edu/,Seller,11%,58%,15%,"23,642","$201,122,399","$25,445,587","$226,567,986","$30,513","$10,918","$8,482","$14,582","$22,568","$46,178",60,57,"$44,545",Private,98,93%,97%,"3,562","2,059"
University of Oklahoma-Norman Campus,OK,www.ou.edu/,,15%,31%,85%,"17,318","$61,924,131","$11,114,618","$73,038,749","$22,022","$14,875","$16,097","$19,864","$23,882","$26,692",77,100,"$7,787",Public,89,46%,72%,"14,760","4,582"
University of Oregon,OR,https://www.uoregon.edu/,,22%,16%,93%,"31,558","$60,599,816","$17,290,893","$77,890,709","$18,556","$14,131","$14,515","$15,596","$22,453","$25,537",55,60,"$10,000",Public,87,58%,74%,"29,483","4,589"
University of Pennsylvania,PA,www.upenn.edu/,Seller,1%,73%,6%,"56,332","$232,531,963","$3,162,927","$235,694,890","$14,578","-$6,500","-$5,282","$3,300","$13,819","$36,472",53,51,"$47,586",Private,98,86%,96%,"3,304","2,418"
University of Pittsburgh-Pittsburgh Campus,PA,www.pitt.edu/,,25%,21%,67%,"34,656","$90,987,354","$30,740,153","$121,727,507","$22,996","$15,534","$18,940","$24,784","$30,085","$32,989",57,56,"$13,583",Public,93,69%,84%,"23,109","4,875"
University of Portland,OR,https://www.up.edu/,Buyer,35%,9%,81%,"12,044","$63,498,902","$34,241,482","$97,740,384","$35,535","$26,237","$27,570","$30,480","$39,095","$40,466",99,100,"$29,024",Private,90,76%,84%,"9,778",911
University of Puget Sound,WA,www.pugetsound.edu/,Buyer,35%,9%,88%,"5,025","$37,806,673","$20,255,908","$58,062,581","$28,221","$9,749","$12,232","$17,783","$22,753","$32,735",100,99,"$28,946",Private,88,68%,77%,"4,437",409
University of Rhode Island,RI,https://web.uri.edu/,,14%,17%,76%,"25,105","$104,735,022","$16,659,048","$121,394,070","$20,496","$12,691","$13,601","$18,138","$22,762","$27,506",81,93,"$10,854",Public,85,53%,69%,"19,196","3,340"
University of Richmond,VA,https://www.richmond.edu/,Buyer,27%,22%,29%,"13,955","$54,947,010","$20,763,998","$75,711,008","$28,881","$13,287","$12,860","$13,389","$24,362","$48,763",63,58,"$43,778",Private,92,82%,88%,"4,015",876
University of Rochester,NY,https://www.rochester.edu/,Mild Buyer,17%,20%,41%,"19,543","$144,965,059","$29,832,091","$174,797,150","$40,125","$16,050","$19,108","$24,062","$29,766","$46,660",73,73,"$37,106",Private,91,75%,86%,"7,924","1,623"
University of San Diego,CA,www.sandiego.edu/,Buyer,21%,15%,53%,"14,326","$103,132,915","$28,183,307","$131,316,222","$34,155","$15,011","$16,333","$20,063","$27,393","$41,659",72,82,"$31,226",Private,92,69%,80%,"7,550","1,166"
University of San Francisco,CA,https://www.usfca.edu/,Buyer,21%,9%,71%,"22,372","$109,399,390","$28,549,985","$137,949,375","$39,825","$30,235","$30,787","$34,881","$39,053","$47,896",85,92,"$27,100",Private,86,63%,71%,"15,867","1,452"
University of Scranton,PA,www.scranton.edu/,Buyer,25%,12%,80%,"9,111","$65,819,009","$21,792,921","$87,611,930","$35,913","$23,350","$24,429","$27,199","$33,929","$40,097",92,96,"$26,357",Private,87,74%,82%,"7,315",895
University of South Alabama,AL,www.southalabama.edu/,,46%,21%,71%,"11,817","$18,617,136","$15,901,760","$34,518,896","$14,984","$11,305","$12,976","$17,403","$21,560","$22,139",74,84,"$5,183",Public,71,26%,45%,"8,364","1,778"
University of South Carolina-Columbia,SC,www.sc.edu/,,41%,24%,62%,"42,045","$93,130,632","$65,296,376","$158,427,008","$21,898","$12,610","$16,370","$19,976","$22,375","$24,716",82,67,"$3,235",Public,87,65%,78%,"25,884","6,174"
University of South Dakota,SD,https://www.usd.edu/,,55%,33%,87%,"4,272","$7,972,035","$9,772,877","$17,744,912","$18,974","$14,873","$16,321","$19,130","$21,342","$21,074",59,76,"$3,262",Public,77,43%,60%,"3,717","1,233"
University of South Florida,FL,www.usf.edu/,,27%,25%,49%,"50,352","$153,168,362","$55,987,510","$209,155,872","$11,419","$4,454","$6,209","$9,050","$13,978","$15,614",86,97,"$3,166",Public,90,59%,74%,"24,863","6,279"
University of Southern California,CA,www.usc.edu/,Mild Buyer,22%,41%,13%,"71,031","$377,444,625","$105,489,661","$482,934,286","$26,021","$12,404","$12,875","$18,626","$27,959","$45,251",68,71,"$36,359",Private,96,79%,92%,"8,884","3,668"
University of Southern Indiana,IN,www.usi.edu/,,31%,36%,96%,"3,867","$22,604,598","$10,172,364","$32,776,962","$13,719","$8,748","$10,239","$14,503","$17,756","$18,766",59,66,"$4,011",Public,69,36%,52%,"3,728","1,327"
University of Southern Maine,ME,www.usm.maine.edu/,,10%,19%,87%,"5,397","$27,920,198","$3,169,311","$31,089,509","$9,793","$6,164","$6,336","$8,766","$12,614","$14,330",71,90,"$5,553",Public,65,20%,36%,"4,695",895
University of Southern Mississippi,MS,https://www.usm.edu/,,42%,18%,96%,"9,314","$44,719,016","$31,912,168","$76,631,184","$13,651","$12,569","$11,995","$15,230","$17,247","$18,293",88,64,"$6,947",Public,70,31%,50%,"8,922","1,587"
University of St Thomas,MN,www.stthomas.edu/,Buyer,24%,21%,76%,"8,654","$94,371,179","$29,004,394","$123,375,573","$30,099","$26,331","$28,505","$24,627","$25,330","$30,383",96,95,"$27,945",Private,85,70%,80%,"6,536","1,349"
University of the Pacific,CA,www.pacific.edu/,Buyer,19%,9%,79%,"10,901","$64,500,907","$14,708,801","$79,209,708","$21,311","$10,439","$13,200","$14,620","$19,438","$27,899",94,99,"$30,263",Private,84,45%,66%,"8,645",781
University of Toledo,OH,www.utoledo.edu/,,31%,24%,97%,"9,893","$54,766,449","$24,940,755","$79,707,204","$17,764","$12,735","$13,722","$16,890","$18,359","$20,367",74,83,"$6,596",Public,75,31%,53%,"9,549","2,332"
University of Utah,UT,www.utah.edu/,,72%,31%,95%,"18,302","$30,433,959","$76,354,717","$106,788,676","$11,112","$4,843","$6,189","$7,061","$11,665","$15,004",66,81,"$8,332",Public,87,34%,67%,"17,381","5,361"
University of Vermont,VT,www.uvm.edu/,,36%,18%,64%,"25,559","$99,089,719","$56,393,746","$155,483,465","$19,873","$12,566","$11,693","$15,919","$21,767","$26,178",85,93,"$16,817",Public,89,64%,76%,"16,233","2,932"
University of Virginia-Main Campus,VA,https://www.virginia.edu/,,20%,39%,21%,"47,971","$137,177,993","$33,863,589","$171,041,582","$20,401","$8,987","$7,775","$14,589","$21,123","$28,880",50,33,"$20,975",Public,97,89%,94%,"9,951","3,889"
University of Washington-Bothell Campus,WA,https://www.uwb.edu/,,1%,25%,83%,"4,423","$39,545,741","$554,839","$40,100,580","$7,577","$4,557","$4,498","$7,791","$14,301","$20,541",49,31,"$5,258",Public,88,42%,63%,"3,672",900
University of Washington-Seattle Campus,WA,www.washington.edu/,,7%,28%,53%,"48,840","$189,181,658","$15,153,364","$204,335,022","$8,701","$4,516","$5,082","$7,271","$13,359","$23,292",47,35,"$7,752",Public,93,67%,82%,"26,121","7,252"
University of West Alabama,AL,www.uwa.edu/,,88%,31%,74%,"1,539","$585,842","$4,221,364","$4,807,206","$15,435","$14,938","$16,479","$17,186","$18,235","$17,032",77,54,"$5,777",Public,63,32%,42%,"1,144",351
University of West Georgia,GA,www.westga.edu/,,90%,34%,70%,"6,610","$2,186,954","$20,668,335","$22,855,289","$15,296","$14,220","$14,906","$17,533","$19,801","$19,908",80,14,"$5,619",Public,69,22%,44%,"4,607","1,545"
University of Wisconsin-Eau Claire,WI,www.uwec.edu/,,13%,31%,77%,"9,420","$21,938,706","$3,368,931","$25,307,637","$15,713","$10,871","$11,528","$15,397","$19,020","$19,988",59,41,"$1,411",Public,78,39%,65%,"7,297","2,253"
University of Wisconsin-La Crosse,WI,www.uwlax.edu/,,22%,42%,74%,"7,067","$15,305,410","$4,281,740","$19,587,150","$12,904","$7,924","$9,118","$13,042","$16,521","$17,227",58,17,"$2,443",Public,84,44%,71%,"5,219","2,217"
University of Wisconsin-Madison,WI,www.wisc.edu/,,18%,26%,60%,"53,781","$135,991,027","$30,855,759","$166,846,786","$13,484","$3,753","$4,697","$9,844","$21,706","$26,048",50,33,"$12,734",Public,95,66%,88%,"32,459","8,465"
University of Wisconsin-Milwaukee,WI,uwm.edu/,,29%,25%,89%,"14,859","$49,320,251","$20,142,380","$69,462,631","$17,083","$11,108","$11,904","$15,418","$19,393","$20,040",67,82,"$1,107",Public,76,21%,46%,"13,218","3,358"
University of Wisconsin-Stevens Point,WI,https://www.uwsp.edu/,,8%,25%,90%,"8,100","$21,939,460","$1,948,832","$23,888,292","$14,122","$8,987","$10,173","$14,044","$17,258","$18,322",80,56,"$1,103",Public,75,34%,59%,"7,303","1,810"
University of Wisconsin-Stout,WI,www.uwstout.edu/,,18%,30%,91%,"4,890","$11,310,152","$2,434,233","$13,744,385","$16,063","$10,207","$11,699","$15,610","$18,794","$19,111",51,52,"$1,835",Public,68,30%,60%,"4,469","1,324"
University of Wisconsin-Whitewater,WI,www.uww.edu/,,31%,29%,83%,"8,930","$21,277,791","$9,460,551","$30,738,342","$12,754","$9,267","$10,289","$14,320","$17,307","$18,076",55,14,"$1,925",Public,75,38%,62%,"7,409","2,127"
University of Wyoming,WY,www.uwyo.edu/,,62%,27%,97%,"5,645","$14,649,180","$24,317,813","$38,966,993","$12,149","$5,952","$6,376","$9,361","$13,654","$15,834",89,79,"$4,484",Public,76,33%,59%,"5,463","1,477"
Ursinus College,PA,www.ursinus.edu/,Buyer,27%,14%,83%,"3,818","$42,621,039","$15,715,981","$58,337,020","$31,438","$25,030","$26,998","$25,811","$28,436","$31,996",99,100,"$37,906",Private,85,71%,74%,"3,158",433
Utah State University,UT,https://www.usu.edu/,,36%,29%,93%,"15,567","$49,413,362","$28,099,437","$77,512,799","$14,529","$8,962","$11,008","$12,882","$16,427","$18,485",62,78,"$8,656",Public,74,21%,48%,"14,420","4,223"
Valdosta State University,GA,www.valdosta.edu/,,10%,27%,76%,"8,650","$39,497,233","$4,269,390","$43,766,623","$12,856","$12,024","$12,126","$15,169","$16,757","$17,169",89,20,"$10,277",Public,56,20%,40%,"6,606","1,782"
Valparaiso University,IN,https://www.valpo.edu/,Buyer,35%,11%,93%,"6,095","$50,010,618","$26,556,229","$76,566,847","$21,997","$27,433","$27,665","$24,129","$23,786","$26,303",98,100,"$30,657",Private,81,56%,65%,"5,679",601
Vanderbilt University,TN,www.vanderbilt.edu/,Seller,13%,48%,7%,"47,152","$192,750,185","$27,976,302","$220,726,487","$27,553","$4,752","$7,456","$9,117","$16,889","$43,395",65,63,"$46,541",Private,97,88%,93%,"3,368","1,626"
Vassar College,NY,www.vassar.edu/,Seller,0%,31%,20%,"10,884","$71,244,090","$8,336","$71,252,426","$27,249","$10,697","$14,383","$23,695","$23,770","$52,260",63,55,"$47,391",Private,95,82%,88%,"2,193",679
Villanova University,PA,www.villanova.edu/,Seller,13%,29%,25%,"24,410","$113,268,501","$17,335,601","$130,604,102","$33,123","$17,291","$14,241","$20,503","$28,723","$47,834",51,52,"$41,243",Private,96,89%,92%,"6,162","1,772"
Virginia Commonwealth University,VA,https://www.vcu.edu/,,15%,25%,93%,"17,579","$118,329,908","$20,701,485","$139,031,393","$19,656","$13,601","$14,349","$16,689","$21,818","$26,416",67,70,"$7,266",Public,84,44%,66%,"16,308","4,084"
Virginia Polytechnic Institute and State University,VA,www.vt.edu/,,55%,28%,56%,"42,054","$46,375,705","$57,200,533","$103,576,238","$20,109","$11,740","$13,739","$18,113","$24,065","$26,726",55,53,"$4,420",Public,92,65%,86%,"23,746","6,758"
Wake Forest University,NC,www.wfu.edu/,Seller,9%,37%,25%,"15,156","$63,108,026","$6,259,281","$69,367,307","$24,643","$7,527","$8,337","$10,029","$14,608","$54,043",40,32,"$50,397",Private,94,85%,89%,"3,816","1,412"
Wartburg College,IA,https://www.wartburg.edu/,Buyer,30%,12%,83%,"4,024","$35,391,956","$15,014,481","$50,406,437","$23,022","$15,460","$17,521","$20,206","$23,790","$25,952",97,95,"$31,065",Private,74,64%,68%,"3,330",413
Washington and Lee University,VA,www.wlu.edu/,Mild Buyer,21%,39%,19%,"6,621","$47,109,776","$12,200,448","$59,310,224","$26,063",$769,$743,"$4,132","$10,395","$43,946",62,52,"$53,770",Private,96,91%,93%,"1,248",484
Washington College,MD,www.washcoll.edu/,Buyer,81%,13%,70%,"2,893","$6,100,707","$26,280,011","$32,380,718","$22,088","$3,144","$10,055","$11,022","$22,273","$40,692",97,99,"$29,067",Private,84,69%,72%,"2,021",260
Washington State University,WA,https://wsu.edu/,,6%,26%,86%,"18,197","$122,612,846","$8,050,208","$130,663,054","$11,877","$2,325","$3,968","$7,762","$14,670","$18,184",69,74,"$5,752",Public,81,37%,59%,"15,607","4,007"
Washington University in St Louis,MO,https://wustl.edu/,Seller,6%,45%,13%,"33,634","$163,004,203","$10,958,021","$173,962,224","$28,298","$3,263","$4,928","$9,248","$27,028","$50,273",45,42,"$50,322",Private,96,88%,94%,"4,373","1,980"
Wayne State University,MI,https://wayne.edu/,,44%,28%,63%,"15,181","$60,764,330","$48,131,930","$108,896,260","$15,710","$12,475","$12,652","$14,456","$18,722","$20,082",79,96,"$6,698",Public,81,24%,52%,"9,603","2,732"
Wellesley College,MA,www.wellesley.edu/,Seller,2%,49%,16%,"7,663","$81,984,510","$1,361,836","$83,346,346","$21,862","$5,206","$5,759","$10,758","$28,001","$51,814",65,58,"$53,971",Private,97,86%,94%,"1,240",606
Wentworth Institute of Technology,MA,https://wit.edu/,Buyer,79%,19%,90%,"5,441","$13,749,312","$51,858,693","$65,608,005","$32,430","$25,447","$26,371","$28,505","$30,821","$33,344",89,100,"$17,109",Private,78,54%,69%,"4,872",917
Wesleyan University,CT,www.wesleyan.edu/,Seller,2%,36%,19%,"13,067","$76,583,790","$1,438,853","$78,022,643","$20,535","$4,449","$4,800","$10,298","$14,835","$51,016",43,40,"$55,516",Private,95,87%,91%,"2,540",910
West Chester University of Pennsylvania,PA,https://www.wcupa.edu/,,10%,21%,89%,"14,020","$38,394,531","$4,368,116","$42,762,647","$14,133","$8,168","$8,733","$11,386","$15,109","$16,433",99,100,"$2,625",Public,85,55%,75%,"12,528","2,628"
West Texas A & M University,TX,https://www.wtamu.edu/,,15%,24%,97%,"5,743","$29,922,778","$5,177,730","$35,100,508","$13,802","$15,126","$15,960","$18,740","$20,354","$20,586",81,58,"$2,702",Public,58,27%,44%,"5,573","1,353"
Western Carolina University,NC,www.wcu.edu/,,7%,18%,79%,"12,308","$34,813,899","$2,805,237","$37,619,136","$13,082","$8,951","$11,422","$14,153","$16,890","$18,128",68,64,"$2,310",Public,75,43%,64%,"9,775","1,729"
Western Illinois University,IL,www.wiu.edu/,,12%,18%,72%,"7,156","$37,837,410","$4,954,760","$42,792,170","$11,666","$9,001","$9,579","$12,091","$16,380","$18,175",94,94,"$7,173",Public,72,30%,46%,"5,187",920
Western Kentucky University,KY,www.wku.edu/,,67%,40%,98%,"7,255","$28,890,401","$58,294,849","$87,185,250","$12,395","$11,303","$16,192","$15,852","$15,859","$16,059",82,91,"$5,928",Public,73,37%,55%,"7,145","2,832"
Western Michigan University,MI,https://wmich.edu/,,21%,14%,83%,"18,853","$59,831,222","$15,617,844","$75,449,066","$19,749","$12,964","$14,885","$18,775","$22,655","$23,976",90,79,"$5,222",Public,77,27%,57%,"15,612","2,112"
Western Washington University,WA,wwu.edu/,,5%,28%,96%,"10,580","$44,051,642","$2,460,864","$46,512,506","$11,388","$3,885","$4,818","$7,842","$14,157","$16,098",58,73,"$4,115",Public,81,38%,68%,"10,167","2,874"
Westfield State University,MA,www.westfield.ma.edu/,,9%,23%,94%,"3,629","$14,882,230","$1,533,139","$16,415,369","$19,194","$12,032","$15,145","$18,644","$21,313","$22,557",57,75,"$1,884",Public,75,53%,63%,"3,424",802
Westminster College,PA,www.westminster.edu/,Buyer,23%,15%,82%,"2,475","$30,036,530","$8,824,842","$38,861,372","$20,258","$14,065","$16,212","$17,031","$21,994","$24,523",96,100,"$26,616",Private,89,60%,71%,"2,033",305
Westmont College,CA,www.westmont.edu/,Buyer,32%,18%,79%,"2,344","$25,972,242","$12,375,939","$38,348,181","$33,554","$27,137","$20,857","$26,515","$26,688","$37,596",98,99,"$30,107",Private,85,71%,72%,"1,851",333
Wheaton College,IL,www.wheaton.edu/,Mild Buyer,20%,32%,86%,"1,993","$36,755,228","$9,357,821","$46,113,049","$28,319","$17,118","$13,676","$19,167","$23,680","$33,281",87,91,"$21,054",Private,89,79%,88%,"1,719",546
Whitman College,WA,www.whitman.edu/,Buyer,23%,16%,59%,"5,155","$33,248,640","$9,862,076","$43,110,716","$35,627","$14,774","$18,861","$30,412","$31,827","$41,899",88,91,"$29,088",Private,89,79%,86%,"3,039",477
Wichita State University,KS,www.wichita.edu/,,41%,27%,91%,"7,291","$22,420,882","$15,776,523","$38,197,405","$13,905","$11,235","$11,155","$14,393","$17,495","$18,295",59,65,"$4,877",Public,69,25%,48%,"6,639","1,814"
Willamette University,OR,www.willamette.edu/,Buyer,26%,9%,80%,"3,680","$22,331,426","$7,757,449","$30,088,875","$37,400","$25,081","$24,078","$29,085","$37,882","$41,906",97,99,"$27,404",Private,80,67%,74%,"2,930",260
William & Mary,VA,https://www.wm.edu/,,11%,26%,37%,"17,475","$45,150,593","$5,805,897","$50,956,490","$18,399","$3,579","$5,717","$10,665","$17,295","$34,686",53,42,"$18,447",Public,93,85%,91%,"6,386","1,684"
William Paterson University of New Jersey,NJ,www.wpunj.edu/,,88%,13%,83%,"9,171","$1,748,609","$13,319,549","$15,068,158","$15,762","$15,529","$15,156","$18,182","$21,064","$21,228",63,42,"$5,735",Public,67,37%,56%,"7,636",995
Williams College,MA,https://www.williams.edu/,Seller,3%,52%,9%,"12,452","$62,060,633","$1,976,624","$64,037,257","$14,487",$718,$360,"$1,312","$10,270","$35,335",58,52,"$49,506",Private,97,89%,96%,"1,099",574
Wingate University,NC,https://www.wingate.edu/,Buyer,24%,5%,85%,"17,662","$57,268,420","$17,974,552","$75,242,972","$19,013","$15,556","$15,637","$17,148","$23,765","$24,122",99,97,"$27,926",Private,64,39%,49%,"14,929",777
Winona State University,MN,www.winona.edu/,,24%,27%,77%,"5,335","$15,347,120","$4,732,916","$20,080,036","$17,283","$12,380","$12,110","$15,599","$18,810","$20,989",74,57,"$2,746",Public,75,41%,59%,"4,103","1,098"
Winthrop University,SC,www.winthrop.edu/,,23%,23%,64%,"5,582","$29,174,840","$8,662,482","$37,837,322","$17,100","$14,387","$15,779","$17,881","$19,201","$20,783",85,61,"$7,707",Public,68,46%,61%,"3,567",818
Wittenberg University,OH,www.wittenberg.edu/,Buyer,79%,12%,92%,"3,272","$8,203,394","$29,955,026","$38,158,420","$22,179","$16,478","$18,744","$21,228","$22,001","$24,944",95,100,"$29,461",Private,70,58%,63%,"3,019",358
Wofford College,SC,www.wofford.edu/,Buyer,34%,20%,52%,"4,351","$33,123,096","$17,415,916","$50,539,012","$30,608","$18,141","$24,088","$23,166","$29,807","$33,901",96,93,"$29,101",Private,88,77%,80%,"2,282",459
Worcester Polytechnic Institute,MA,https://www.wpi.edu/,Buyer,41%,21%,60%,"11,092","$69,746,966","$47,532,211","$117,279,177","$48,230","$32,066","$31,936","$37,152","$41,891","$49,264",95,98,"$23,130",Private,94,81%,89%,"6,679","1,410"
Wright State University-Main Campus,OH,www.wright.edu/,,24%,19%,96%,"6,338","$26,587,160","$8,524,148","$35,111,308","$14,198","$12,341","$12,777","$16,102","$18,628","$18,984",82,67,"$5,624",Public,65,26%,43%,"6,087","1,132"
Xavier University,OH,https://www.xavier.edu/,Buyer ,62%,9%,84%,"15,199","$38,539,058","$64,129,226","$102,668,284","$32,370","$27,369","$26,402","$32,332","$33,699","$32,974",93,100,"$25,521",Private,83,61%,69%,"12,770","1,185"
Xavier University of Louisiana,LA,https://www.xula.edu/,Seller,0%,16%,95%,"6,575","$40,297,166","$43,113","$40,340,279","$16,886","$16,864","$16,665","$17,057","$21,114","$23,799",89,94,"$14,741",Private,69,35%,47%,"6,273",989
Yale University,CT,https://www.yale.edu/,Seller,1%,71%,5%,"47,240","$224,217,260","$1,151,073","$225,368,333","$20,605","$1,717","$5,177","$3,957","$15,224","$42,964",60,58,"$56,082",Private,98,84%,96%,"2,509","1,786"
Youngstown State University,OH,https://ysu.edu/,,38%,31%,78%,"6,718","$32,257,177","$19,402,171","$51,659,348","$12,290","$8,537","$10,139","$13,349","$15,895","$16,969",75,73,"$5,355",Public,75,25%,48%,"5,250","1,627"
