Institution,State,Website URL,Buyer/Seller for Private Institutions ,Percentage of Institutional Aid Without Respect to Financial Need (2022),"Percentage of Students That Chose to Enroll	
(2021)","Acceptance Rate	
(2021)",Applications (2021),Need-Based Institutional Scholarship (2022),Non-Need-Based Institutional Scholarship (2022),Total Institutional Aid 2022 (Calculation),Average Net Price (2021),"Average Net Price (Income $0-$30,000) 	 
","Average Net Price (Income $30,001-$48,000) 	 
","Average Net Price (Income $48,001-$75,000) 	 ","Average Net Price (income $75,001-$110,000) 	 ","Average Net Price (Income over $110,000) 	","Percent of UG Awarded Aid      

",Percent of First-Years Receiving Institutional Aid,Average Amount of Institutional Aid Awarded to First-Years,Public or Private,Retention Rate (2021),Four-year Graduation Rate,Six-year Graduation Rate,Admitted students,Enrolled students
Colby College,ME,www.colby.edu/,Seller,1%,47%,9%,"15,857","$52,184,304","$598,637","$52,782,941","$17,912","$3,982","$4,519","$3,314","$15,255","$40,947",42,39,"$56,042",Private,95,89%,90%,"1,407",667
Colgate University,NY,https://www.colgate.edu/,Seller,2%,29%,17%,"17,540","$56,812,185","$1,147,593","$57,959,778","$24,500","$10,923","$14,024","$15,344","$20,853","$45,405",45,41,"$51,438",Private,93,85%,91%,"3,015",887
College of Charleston,SC,www.cofc.edu/,,46%,16%,76%,"20,484","$34,781,889","$29,973,564","$64,755,453","$20,255","$12,945","$14,215","$17,784","$21,464","$23,932",92,65,"$8,819",Public,83,57%,66%,"15,590","2,473"
College of the Holy Cross,MA,www.holycross.edu/,Seller,17%,29%,43%,"6,498","$51,299,905","$10,216,379","$61,516,284","$29,198","$9,920","$8,438","$14,574","$26,423","$43,935",64,63,"$31,805",Private,96,90%,93%,"2,786",821
Colorado College,CO,www.coloradocollege.edu/,Seller,8%,40%,14%,"10,975","$47,153,820","$4,060,730","$51,214,550","$30,200","$10,023","$12,489","$17,057","$27,976","$45,085",53,56,"$45,654",Private,96,82%,88%,"1,564",620
Colorado Mesa University,CO,www.coloradomesa.edu/,,47%,29%,80%,"8,082","$7,774,643","$6,824,201","$14,598,844","$15,324","$12,638","$13,761","$15,258","$18,618","$20,122",72,48,"$4,430",Public,72,25%,44%,"6,485","1,855"
Colorado School of Mines,CO,www.mines.edu/,,43%,21%,57%,"12,022","$24,876,786","$19,069,721","$43,946,507","$26,179","$18,417","$15,701","$16,812","$17,784","$28,661",80,98,"$9,733",Public,91,65%,84%,"6,838","1,449"
Colorado State University-Fort Collins,CO,colostate.edu/,,25%,18%,90%,"31,586","$92,980,754","$30,771,209","$123,751,963","$18,320","$11,713","$12,221","$15,217","$21,820","$26,972",57,68,"$7,022",Public,86,47%,70%,"28,314","5,197"
Columbia University in the City of New York,NY,www.columbia.edu/,Seller,1%,65%,4%,"61,110","$202,214,401","$1,954,249","$204,168,650","$12,411","-$3,429","-$5,227","-$4,069","$9,939","$40,584",60,52,"$53,589",Private,99,84%,95%,"2,524","1,641"
Columbus State University,GA,www.columbusstate.edu/,,49%,29%,79%,"5,275","$14,823,082","$14,335,749","$29,158,831","$13,571","$12,235","$12,808","$15,403","$17,115","$17,149",87,16,"$6,516",Public,61,18%,39%,"4,142","1,205"
Connecticut College,CT,www.conncoll.edu/,Mild Buyer,29%,16%,41%,"7,682","$45,359,370","$18,119,827","$63,479,197","$44,820","$19,605","$16,283","$20,255","$30,265","$44,983",100,99,"$31,434",Private,86,78%,82%,"3,146",492
Cooper Union for the Advancement of Science and Art,NY,https://www.cooper.edu/,Seller,5%,53%,15%,"2,678","$29,671,224","$1,472,767","$31,143,991","$20,757",$33,"$1,735","$4,778","$14,160","$27,028",99,100,"$35,079",Private,91,66%,79%,393,210
Cornell University,NY,www.cornell.edu/,Seller,1%,64%,9%,"67,380","$371,562,774","$2,103,265","$373,666,039","$24,262","$1,862","$1,953","$4,035","$20,449","$48,400",49,48,"$50,341",Private,97,89%,95%,"5,852","3,718"
CUNY Bernard M Baruch College,NY,www.baruch.cuny.edu/,,2%,21%,51%,"23,434","$88,270,597","$1,373,979","$89,644,576","$3,793",$345,"$2,040","$6,689","$8,405","$12,681",73,64,"$1,851",Public,87,45%,73%,"11,849","2,532"
CUNY Brooklyn College,NY,www.brooklyn.cuny.edu/,,6%,11%,51%,"28,544","$86,595,791","$5,329,011","$91,924,802","$4,254",$834,"$2,542","$6,748","$9,600","$12,479",86,67,"$1,548",Public,79,28%,54%,"14,660","1,554"
CUNY City College,NY,www.ccny.cuny.edu/,,21%,13%,64%,"31,175","$64,388,762","$16,704,436","$81,093,198","$4,213",$552,"$2,046","$6,588","$9,217","$12,474",83,71,"$1,585",Public,81,24%,60%,"19,972","2,565"
CUNY Hunter College,NY,www.hunter.cuny.edu/,,3%,23%,46%,"31,728","$50,790,801","$1,378,932","$52,169,733","$4,586",$156,"$2,350","$6,892","$8,466","$12,171",77,68,"$1,753",Public,82,27%,56%,"14,562","3,321"
CUNY Lehman College,NY,www.lehman.edu/,,12%,14%,58%,"20,132","$67,663,653","$9,190,917","$76,854,570","$3,206","$1,059","$3,081","$7,147","$9,402","$11,619",76,69,"$1,360",Public,74,28%,53%,"11,654","1,582"
CUNY Queens College,NY,https://www.qc.cuny.edu/,,33%,16%,61%,"21,777","$58,076,980","$28,058,605","$86,135,585","$4,777","$1,092","$2,779","$7,120","$8,882","$12,438",68,55,"$1,561",Public,80,26%,53%,"13,237","2,100"
CUNY York College,NY,www.york.cuny.edu/,,31%,10%,67%,"13,852","$24,244,569","$11,014,490","$35,259,059","$5,182","$1,600","$3,442","$7,240","$9,149","$13,567",62,65,"$1,152",Public,60,8%,32%,"9,283",898
Dartmouth College,NH,www.dartmouth.edu/,Seller,1%,70%,6%,"28,356","$132,597,968","$1,128,209","$133,726,177","$24,078","$6,376","$7,099","$12,297","$18,070","$54,195",54,47,"$53,418",Private,98,88%,95%,"1,750","1,221"
Davidson College,NC,https://davidson.edu/,Seller,10%,48%,18%,"6,434","$51,489,430","$5,590,846","$57,080,276","$25,794","$7,163","$5,442","$11,806","$15,494","$37,952",68,64,"$45,154",Private,95,89%,93%,"1,145",547
Denison University,OH,https://www.denison.edu/,Buyer,30%,24%,28%,"9,513","$51,323,536","$22,160,762","$73,484,298","$38,833","$12,160","$17,948","$20,322","$30,365","$41,966",96,96,"$32,834",Private,87,77%,80%,"2,689",654
DePaul University,IL,https://www.depaul.edu/,Buyer,21%,13%,69%,"32,075","$208,564,000","$55,293,000","$263,857,000","$31,872","$26,226","$27,690","$27,561","$29,405","$34,357",88,99,"$22,276",Private,84,58%,71%,"22,274","2,838"
DePauw University,IN,www.depauw.edu/,Buyer,41%,14%,65%,"5,695","$39,464,306","$27,815,607","$67,279,913","$27,348","$13,670","$14,221","$14,281","$21,254","$33,735",96,99,"$36,929",Private,88,85%,87%,"3,683",500
Dickinson College,PA,https://www.dickinson.edu/,Buyer,14%,22%,48%,"6,366","$64,672,748","$10,744,681","$75,417,429","$20,913","$1,245","$1,451","$3,884","$13,359","$27,107",83,91,"$37,903",Private,92,81%,84%,"3,061",677
Dillard University,LA,www.dillard.edu/,Seller,14%,10%,55%,"6,188","$6,374,223","$998,012","$7,372,235","$19,000","$17,264","$17,403","$21,566","$24,449","$22,781",96,99,"$9,193",Private,73,33%,50%,"3,417",326
